nombre,cantidades,info,sabores,imagen,mix,Artículo,oferta,Estado,Rubro
ACEITE DE OLIVA X 3L - VERDEOLIVA,1 UNIDAD,,,https://drive.google.com/file/d/1HhWAIhOPpJBly1q13x1tYuENnT8YT2-C/view,,1908,,✅ en precios,ACEITES Y VINAGRES
ACEITE DE OLIVA X 5 L - RODRIGO DE VIVAR,1 UNIDAD,"El Aceite de Oliva Rodrigo de Vivar es un producto de origen mendocino, específicamente de la zona de San Martín. Se destaca por ser un aceite de oliva virgen extra de primera prensada en frío, reconocido por su sabor frutado y equilibrado.",,https://drive.google.com/file/d/1H-W9VwJb8KVjAgM_o7EnQJyaFeN4CGi0/view,,1007,,✅ en precios,ACEITES Y VINAGRES
ACEITE DE OLIVA X 500 CC - LAUR,1 UNIDAD,"El Aceite de Oliva Laur es producido por la olivícola número uno del mundo según el EVOO World Ranking. Originario de Mendoza, Argentina, se destaca por su alta calidad y pureza.",,https://drive.google.com/file/d/1A2gi-MF5FPGL07b8bam7cjKarlnaRTj4/view,,1002,,✅ en precios,ACEITES Y VINAGRES
ACEITE DE OLIVA X 500 CC - RODRIGO DE VIVAR,1 UNIDAD,"El Aceite de Oliva Rodrigo de Vivar es un producto de origen mendocino, específicamente de la zona de San Martín. Se destaca por ser un aceite de oliva virgen extra de primera prensada en frío, reconocido por su sabor frutado y equilibrado.",,https://drive.google.com/file/d/1KSYsbt1CWv9vqWtg_sb1PMZ3ZF-IfJTx/view,,1009,,✅ en precios,ACEITES Y VINAGRES
ACEITE DE OLIVA X 500ML - VERDEOLIVA ,1 UNIDAD,,,https://drive.google.com/file/d/1gYtu83WZXt-pZgCxGEAdD48KAGt79yvH/view,,2119,,✅ en precios,ACEITES Y VINAGRES
ACEITE DE OLIVA X 5L - VERDEOLIVA,1 UNIDAD,,,https://drive.google.com/file/d/1-BTYBFcKSUF8WoXp9C4VcHaubtdnR55L/view,,1909,,✅ en precios,ACEITES Y VINAGRES
ACEITE DE OLIVA X 900 CC - RODRIGO DE VIVAR,1 UNIDAD,"El Aceite de Oliva Rodrigo de Vivar es un producto de origen mendocino, específicamente de la zona de San Martín. Se destaca por ser un aceite de oliva virgen extra de primera prensada en frío, reconocido por su sabor frutado y equilibrado.",,https://drive.google.com/file/d/1a4Djen_Q5drmMmJvn9FxpbC_OqDB0twf/view,,1010,,✅ en precios,ACEITES Y VINAGRES
ACEITE DE OLIVA X 900ML - VERDE OLIVA,1 UNIDAD,,,https://drive.google.com/file/d/142O5TyjoOb0qFDAkbmnTDanpXRDxa8VN/view,,1894,,✅ en precios,ACEITES Y VINAGRES
ACEITE DE SESAMO X 250 ML - NATRUSEM ,1 UNIDAD,"El aceite de sésamo Nutrasem es un producto gourmet de origen argentino, destacado por ser prensado en frío y elaborado a partir de semillas tostadas. Este proceso garantiza un sabor intenso y la conservación de sus propiedades nutricionales originales.",,https://drive.google.com/file/d/11KBYT2aeiYnLfeCyMnVwGyk7q3Ic03xs/view,,2378,,✅ en precios,ACEITES Y VINAGRES
ACETO BALSAMICO 500CC - ALCARAZ GOURMET,1 UNIDAD,"El Aceto Balsámico ""Cristo de los Cerros"" es un aderezo gourmet elaborado en Mendoza, Argentina, por la empresa Alcaraz Gourmet. Se destaca por su equilibrio entre acidez y dulzor, siguiendo métodos tradicionales de inspiración italiana.",,https://drive.google.com/file/d/1YMehG75RBjLkKehMnf65VxkCnno2rTOm/view,,1064,,✅ en precios,ACEITES Y VINAGRES
ACETO BALSAMICO X 250CC - MILLAN,1 UNIDAD,"El Aceto Balsámico Millán es uno de los condimentos más prestigiosos de Argentina, producido por Acetaia Millán en Maipú, Mendoza. Es reconocido por ser el único en el país certificado por el Consorzio Tutela Aceto Balsámico di Modena con la Identificación Geográfica Protegida (IGP) para su envasado.",,https://drive.google.com/file/d/1IOGhOiSEQdJLK-3PEc0_qOoL5gVz6UPG/view,,2416,,✅ en precios,ACEITES Y VINAGRES
ACETO REDUCCION X 500CC - ALCARAZ GOURMET,1 UNIDAD,"El Aceto Balsámico Reducción de la marca argentina Recetas de Entonces es un aderezo premium de consistencia cremosa y sabor intenso agridulce. Se diferencia del aceto tradicional por su textura espesa, lograda mediante un proceso de cocción y concentrado que lo hace ideal para decorar y realzar platos terminados.",,https://drive.google.com/file/d/13zdwuvH1ANO2E6Ss6MTYIUFnMCaD7t4O/view,,1066,,✅ en precios,ACEITES Y VINAGRES
VINAGRE DE ALCOHOL X 1 L - CAMINITO,1 UNIDAD,,,https://drive.google.com/file/d/1ptZ3fLsM7tCWMSAydBBK--WkVZ2mdals/view,,1637,,✅ en precios,ACEITES Y VINAGRES
VINAGRE DE MANZANA X1 L - CAMINITO,1 UNIDAD,,,https://drive.google.com/file/d/1Fs4XLnu7JdWHpLsF-6X7zhnfFyVAQp1s/view,,1638,,✅ en precios,ACEITES Y VINAGRES
VINAGRE DE VINO X1 L - CAMINITO,1 UNIDAD,,,https://drive.google.com/file/d/1yHwikOO8DfT2iRsVUjIG1jg68yrIPabq/view,,1639,,✅ en precios,ACEITES Y VINAGRES
ACEITUNAS GRIEGAS X 1 KG - RODRIGO DE VIVAR,1 UNIDAD,"Las aceitunas griegas Rodrigo de Vivar son un producto emblemático de la olivícola familiar del mismo nombre, ubicada en San Martín, Mendoza. Estas aceitunas negras se caracterizan por ser de tipo ""griego"", procesadas de forma natural para resaltar un sabor intenso y una textura carnosa.",,https://drive.google.com/file/d/1SjcAtYy5_pKiEW-oqI36ukrQb6o0NxYr/view,,1024,,✅ en precios,ACEITUNAS
ACEITUNAS GRIEGAS X 500GR - RODRIGO DE VIVAR,1 UNIDAD,"Las aceitunas griegas Rodrigo de Vivar son un producto emblemático de la olivícola familiar del mismo nombre, ubicada en San Martín, Mendoza. Estas aceitunas negras se caracterizan por ser de tipo ""griego"", procesadas de forma natural para resaltar un sabor intenso y una textura carnosa.",,https://drive.google.com/file/d/16Yw8SvRLXB2M439BnKEK40CIRBBSqata/view,,1025,,✅ en precios,ACEITUNAS
ACEITUNAS RELLENAS X 200 GR - DURANG,1 UNIDAD,"Las aceitunas rellenas de la marca Durán son un producto clásico de la gastronomía española, específicamente de la región de Extremadura (Guareña, Badajoz). Se caracterizan por su proceso artesanal y el uso de la variedad Manzanilla.",,https://drive.google.com/file/d/1tdWgffM1O9ps3tBKETvpjZ0ze8Uc8bzs/view,,1036,,✅ en precios,ACEITUNAS
ACEITUNAS VERDES Nº 00 X 1 KG - RODRIGO DE VIVAR,1 UNIDAD,"Las Aceitunas Verdes Nº 00 de la marca Rodrigo de Vivar son un producto premium de origen mendocino, destacadas por su gran tamaño y calidad artesanal.",,https://drive.google.com/file/d/1-z9vQ_0VyEe9tTblrjKuiokNv3ecj9If/view,,1043,,✅ en precios,ACEITUNAS
ACEITUNAS VERDES Nº 00 X 500GR - RODRIGO DE VIVAR,1 UNIDAD,"Las Aceitunas Verdes Nº 00 de la marca Rodrigo de Vivar son un producto premium de origen mendocino, destacadas por su gran tamaño y calidad artesanal.",,https://drive.google.com/file/d/1xQum6K1Y6_d4pTL6TDoxM-7yFwDqPcub/view,,1049,,✅ en precios,ACEITUNAS
ACEITUNAS VERDES Nº 1 X 500GR - RODRIGO DE VIVAR,1 UNIDAD,"Las Aceitunas Verdes Nº 1 de Rodrigo de Vivar son un producto premium de la variedad Arauco, elaborado en Mendoza por una olivícola familiar con más de 50 años de trayectoria. El tamaño Nº 1 se clasifica como una aceituna ideal para platos principales y presentaciones gourmet por su balance entre tamaño y pulpa.",,https://drive.google.com/file/d/1SIvCTtZG5forSTYSfwmyICZU81Yw9d1P/view,,1050,,✅ en precios,ACEITUNAS
ACEITUNAS VERDES Nº0 X 1 KG - RODRIGO DE VIVAR,1 UNIDAD,"Las aceitunas verdes Nº 0 de la marca Rodrigo de Vivar son un producto premium de calibre grande, producido por una olivícola familiar con más de 50 años de tradición en Mendoza, Argentina.",,https://drive.google.com/file/d/1GUWDFv2V60PKV_pMiNbc59OmKZdEFN4o/view,,1044,,✅ en precios,ACEITUNAS
ACEITUNAS VERDES Nº1 X 1 KG - RODRIGO DE VIVAR,1 UNIDAD,"Las Aceitunas Verdes Nº 1 de Rodrigo de Vivar son un producto premium de la variedad Arauco, elaborado en Mendoza por una olivícola familiar con más de 50 años de trayectoria. El tamaño Nº 1 se clasifica como una aceituna ideal para platos principales y presentaciones gourmet por su balance entre tamaño y pulpa.",,https://drive.google.com/file/d/1_JEVQnhaBGEd7N9I2nZCGb7CEOGNDCgC/view,,1045,,✅ en precios,ACEITUNAS
AZUCAR IMPALPABLE,250G/500G/1KG,"El azúcar impalpable, también conocida como azúcar glas, flor o en polvo, es azúcar blanca refinada molida hasta obtener un polvo extremadamente fino. Se distingue por su textura sedosa que se disuelve instantáneamente en la boca.",,https://drive.google.com/file/d/1A0qdFEmUs_jNrUES8ccOmdecshqTJqma/view,,1140,,✅ en precios,"AZUCAR, CACAO Y REPOSTERIA"
AZUCAR MASCABO,250G/500G/1KG,"El azúcar mascabo (o mascabado) es un tipo de azúcar integral de caña que no ha sido refinado, o que ha pasado por un proceso de refinamiento mínimo. A diferencia del azúcar blanco, este conserva la melaza natural de la planta, lo que le otorga su característico color marrón oscuro, una textura húmeda y un sabor intenso con notas de caramelo.",,https://drive.google.com/file/d/10WsWJ94Z3AzM3O5DXfjBiWYjoFBCgCk6/view,,1141,,✅ en precios,"AZUCAR, CACAO Y REPOSTERIA"
AZUCAR NEGRA,1KG,"El azúcar negra (o azúcar moreno oscuro) es un tipo de azúcar de caña que se caracteriza por su alto contenido de melaza. A diferencia del azúcar blanco refinado, conserva más humedad, lo que le da una textura similar a la ""arena mojada"" y un sabor intenso a caramelo o regaliz.",,https://drive.google.com/file/d/14zx8vpTVr0QajXK3Sfe-E-SEb5X-EwMD/view,,1142,,✅ en precios,"AZUCAR, CACAO Y REPOSTERIA"
BOMBONES DE PISTACHO X10unidades,1 UNIDAD,,,https://drive.google.com/file/d/18QhrQrnxqnXwRf3l8_QKs1Vxg5BoLnVc/view,,5017,,✅ en precios,"AZUCAR, CACAO Y REPOSTERIA"
CACAO AMARGO DE BRASIL,100G/250G/1KG,"El cacao amargo de Brasil es reconocido por su alta calidad y sabor intenso, siendo uno de los ingredientes favoritos para repostería y alimentación saludable.",,https://drive.google.com/file/d/19jMlGqwqxZcMIC8f7D5QAQIHX8we9RiH/view,,1163,,✅ en precios,"AZUCAR, CACAO Y REPOSTERIA"
CASCARILLA DE CACAO,100G/250G/1KG,"La cascarilla de cacao es la piel delgada que recubre el grano de cacao. Se separa durante el proceso de tostado y es un ""superalimento"" cargado de beneficios, especialmente valorado por su aroma a chocolate y su bajo costo.",,https://drive.google.com/file/d/15FzyEn5HGuv699E9UBWoUIJT_oI7QHZ3/view,,1178,,✅ en precios,"AZUCAR, CACAO Y REPOSTERIA"
CHOCOLATE 100%  COBERTURA SEMIAMARGO - COLONIAL,100G/250G/1KG,"El Chocolate Cobertura Semiamargo Colonial es un producto premium de repostería diseñado para fundir y bañar. A diferencia de los ""baños de repostería"", este contiene manteca de cacao, lo que garantiza un brillo superior y un sabor más intenso.",,https://drive.google.com/file/d/1pRzT_PG0qDeuoegFcfWK0_YyO5TV9Z6I/view,,2159,,✅ en precios,"AZUCAR, CACAO Y REPOSTERIA"
CHOCOLATE 80%  COBERTURA SEMIAMARGO - COLONIAL,100G/250G/1KG,El chocolate Colonial Cobertura Semiamargo 80% Cacao es un producto de alta gama diseñado para repostería profesional y hogareña que destaca por su intensidad y pureza.,,https://drive.google.com/file/d/1zyQZPREc2SPSOIiZ2MfzoAFZ6nrrUxma/view,,1424,,✅ en precios,"AZUCAR, CACAO Y REPOSTERIA"
COCO EN ESCAMAS,100G/250G/1KG,"El coco en escamas es un producto natural, rico en fibra y grasas saludables (ácido láurico), ideal como snack crocante, en granolas, yogures o repostería. Aporta energía sostenida, vitaminas (E, B) y minerales como hierro y potasio. Se destaca por su sabor dulce y textura crujiente.",,https://drive.google.com/file/d/13yWZQOqu5ijl1s3GTfAvjgy0utjCmGfq/view,si,1211,,✅ en precios,"AZUCAR, CACAO Y REPOSTERIA"
COCO RALLADO,100G/250G/1KG,"El coco rallado es la pulpa del coco deshidratada y rallada, conocida por ser rica en fibra, hierro, potasio y grasas saludables (ácido láurico). Es un ingrediente versátil en repostería (tortas, trufas, galletas) y platos salados, además de ser apto para dietas sin TACC. Proporciona energía, ayuda a la digestión y aporta un sabor dulce y fresco.",,https://drive.google.com/file/d/11d9JIijSF4dXlpzMgEpFLAulVjL2LUCH/view,si,1212,,✅ en precios,"AZUCAR, CACAO Y REPOSTERIA"
ESENCIA ARTIFICIAL DE VAINILLA X 100 CC - INDIAS,1 UNIDAD,"El saborizante artificial de vainilla (o esencia) es un producto sintético económico que imita el aroma y sabor de la vainilla natural. Se elabora principalmente a partir de vainillina sintetizada, a menudo derivada del guayacol, lignina o salvado de arroz. Contiene agua, alcohol, colorantes y conservantes.",,https://drive.google.com/file/d/19bIyRbLXWdeAbAWXd48C-5h7_3Batcai/view,,1263,,✅ en precios,"AZUCAR, CACAO Y REPOSTERIA"
EXTRACTO DE VAINILLA NATURAL X 100 CC - EL CASTILLO,1 UNIDAD,"El extracto de vainilla natural es una solución aromática obtenida mediante la maceración de vainas de vainilla (Vanilla planifolia) en alcohol y agua, ofreciendo un sabor intenso, puro y complejo, superior a las esencias artificiales. Es fundamental en repostería de calidad para aromatizar bizcochos, cremas y helados, siendo una opción más saludable y sin aditivos químicos.",,https://drive.google.com/file/d/1mIsDkXBC2n8_YaXjNskxqYG9QTyf3XTg/view,,2257,,✅ en precios,"AZUCAR, CACAO Y REPOSTERIA"
GOMA XANTICA ,100G/250G/1KG,La goma xántica (o xantana) es un polisacárido natural utilizado principalmente como espesante y estabilizador en alimentos y cosméticos. Se obtiene mediante la fermentación de azúcares por la bacteria Xanthomonas campestris. Es famosa en la cocina porque permite que los ingredientes se unan sin necesidad de gluten o altas temperaturas.,,https://drive.google.com/file/d/1sapHAnz98e93LeCTwWNmDUQ-H0Pvjjpq/view,,2408,,✅ en precios,"AZUCAR, CACAO Y REPOSTERIA"
JARABE DE DATILES - LYNA,1 UNIDAD,,,https://drive.google.com/file/d/1BNWF5zjeaQYcLiT1jTvKF1Lia2D3diqs/view,,2439,,✅ en precios,"AZUCAR, CACAO Y REPOSTERIA"
POLVO PARA HORNEAR,100G/250G/1KG,,,https://drive.google.com/file/d/1GHmgiodbITLTxkJV3qFZXUV9Aadydfhl/view,,2348,,✅ en precios,"AZUCAR, CACAO Y REPOSTERIA"
STEVIA HOJAS,100G/250G/1KG,,,https://drive.google.com/file/d/1yd4cyD-09--TFiv5cH6A5pKpTQjhS8tC/view,,2178,,✅ en precios,"AZUCAR, CACAO Y REPOSTERIA"
STEVIA LIQUIDA X120 ML SIN TACC - DULRI,1 UNIDAD,,,https://drive.google.com/file/d/1MdWypJGgNjrdvMXpqsRbOpq6yk1lqS1q/view,,2099,,✅ en precios,"AZUCAR, CACAO Y REPOSTERIA"
STEVIA X100 SOBRES SIN TACC - DULRI,1 UNIDAD,,,https://drive.google.com/file/d/1jNI3cM6YZwS9ca--DrH_NE26wlX3BnsC/view,,2098,,✅ en precios,"AZUCAR, CACAO Y REPOSTERIA"
"JUGO DE ARANDANOS X1,5 L - FITOPLUS",1 UNIDAD,"El jugo de arándanos Cuarto Creciente es una bebida natural de origen argentino, popular por ser libre de azúcares agregados y apta para celíacos.",CON STEVIA/CON SUCRALOSA/CON SEMILLAS DE CHIA,https://drive.google.com/file/d/1EXfxe04nERNmj0f-T0n6JU8W6es32oUv/view,,1324,,✅ en precios,BEBIDAS
KEFIR DE AGUA SABORIZADO X950 ML - KE.LIVE,1 UNIDAD,"El Kéfir de Agua Ke.Live es una bebida fermentada artesanal rica en probióticos que ayuda a regenerar la microbiota intestinal. A diferencia del kéfir de leche, este se elabora con agua y azúcar (generalmente azúcar mascabo), lo que lo hace apto para veganos y personas con intolerancia a la lactosa.",FRUTILLA/NARANJA-MANZANA/LIMON-NARANJA/LIMON-JENGIBRE-NARANJA,https://drive.google.com/file/d/1sWZyLQ4U7Sao99ttJvgzi6UXXrwu6Bz_/view,,2233,,✅ en precios,BEBIDAS
KOMBUCHA X354 ML - EYWA,1 UNIDAD,"La Kombucha Eywa es una bebida fermentada elaborada en Argentina a partir de té y cultivos vivos, que aporta probióticos naturales y compuestos orgánicos beneficiosos. Se caracteriza por su gasificación natural y su perfil equilibrado entre dulzor y acidez. Es una alternativa saludable a las bebidas industriales, ideal para acompañar una alimentación consciente.",ANANA Y NARANJA/LIMON Y JENGIBRE/MARACUYA/LAVANDA Y MANZANILLA/MENTA Y LEMONGRASS/HIBISCUS Y ROSA MOSQUETA,https://drive.google.com/file/d/1UotVNl4CN8ktpjb51NTLKiaHWnXxBAIs/view,,2459,,✅ en precios,BEBIDAS
LECHE DE ALMENDRAS X 1 L - COCOON,1 UNIDAD,"La leche de almendras es una bebida vegetal elaborada a partir de frutos secos, naturalmente libre de lactosa. Presenta un sabor suave y una textura liviana, ideal para consumir sola, en café o en preparaciones. Es una alternativa saludable para quienes buscan opciones vegetales.",,https://drive.google.com/file/d/16mVUrrkYQ7WWD2YJW9mEQjNalKXaBiCD/view,,1351,50,✅ en precios,BEBIDAS
LECHE DE COCO EN POLVO,100G/250G/1KG,"La leche de coco en polvo es una opción práctica y versátil, obtenida a partir de coco deshidratado. Permite preparar bebidas o incorporarse en recetas dulces y saladas con solo agregar agua. Aporta sabor, cremosidad y grasas de origen vegetal.",,https://drive.google.com/file/d/1avRNwF5Bzk5yg3i5ZHPG-BwUMo3bhjUb/view,,1727,,✅ en precios,BEBIDAS
ALMOHADITAS DE CHOCOLATE ,250G/500G/1KG,"Las almohaditas de chocolate son un cereal de desayuno o snack extruido, caracterizado por una cobertura crocante a base de harinas y un centro cremoso con sabor a cacao.",,https://drive.google.com/file/d/1WtjiyZpSTUeVK4OcYc1z6_cZs3ZOjiHQ/view,si,1115,,✅ en precios,CEREALES
ALMOHADITAS DE FRUTILLA,250G/500G/1KG,"Las almohaditas de frutilla son un cereal de desayuno y snack muy popular, valorado por su textura crocante de salvado y trigo con un centro cremoso saborizado.",,https://drive.google.com/file/d/1yZdc6EAeBDlf895N0uizyQGemJi7ivZ-/view,si,1117,,✅ en precios,CEREALES
ALMOHADITAS DE LIMON,250G/500G/1KG,"Las almohaditas de limón son un cereal de desayuno y snack muy popular, especialmente en Argentina. Se caracterizan por tener una cobertura crocante hecha de harinas y un relleno cremoso con sabor a limón.",,https://drive.google.com/file/d/1M76YRVivSWU1mROLRo7d1MfwQg3ypEI6/view,si,1118,,✅ en precios,CEREALES
ALMOHADITAS DOS SALVADOS,250G/500G/1KG,"Las Almohaditas 2 Salvados son un cereal de desayuno y snack muy popular en Argentina, destacadas por su mayor contenido de fibra en comparación con las versiones tradicionales.",,https://drive.google.com/file/d/1tWKPU9lnGg_x3xO5qKoe1Xe1Yoj0Qzby/view,si,1114,,✅ en precios,CEREALES
ANILLOS DE AVENA Y MIEL,250G/500G/1KG,"Los anillos de avena y miel son una opción clásica, nutritiva y deliciosa para el desayuno o la merienda. Son crujientes por fuera, suaves por dentro y naturalmente dulces.",,https://drive.google.com/file/d/1ypkgGfypNVXdAyhu3e_tctFL_pvRh2ih/view,si,1121,,✅ en precios,CEREALES
ANILLOS FRUTADOS,250G/500G/1KG,"Los anillos frutados son uno de los cereales más icónicos del desayuno, conocidos por su forma de aro, colores vibrantes y sabor dulce a frutas cítricas.",,https://drive.google.com/file/d/1Ud1G3_GTKzOJlgQUuWIsDS8gW8W7uN1n/view,si,1122,,✅ en precios,CEREALES
AVENA ARROLLADA GRUESA,250G/500G/1KG,"La avena arrollada gruesa es un cereal integral, rico en fibra, proteínas y minerales, ideal para desayunos saciantes y recetas rústicas. A diferencia de la fina, mantiene el grano entero aplanado, ofreciendo mayor textura y firmeza. Requiere cocción (aprox. 10-12 min) o remojo prolongado para mejorar su digestibilidad.",,https://drive.google.com/file/d/1Y6Do4jttfSx_kCoknumMYRFQ8oP-lEw2/view,si,1135,,✅ en precios,CEREALES
AVENA INSTANTÁNEA,250G/500G/1KG,"La avena instantánea es un cereal precocido y molido fino que se hidrata rápidamente (en minutos o segundos) con agua o leche caliente, ideal para desayunos rápidos. Aporta energía, fibra y nutrientes, siendo una opción conveniente y versátil para cocinar o comer directo con yogur. Se diferencia de la tradicional por su textura más fina y menor tiempo de cocción.",,https://drive.google.com/file/d/1T1EtpnddycW6n2lZy9DxfBBXFpMvdROQ/view,si,1136,,✅ en precios,CEREALES
AVENA TRADICIONAL,250G/500G/1KG,"La avena tradicional (o en hojuelas) es un grano entero, mínimamente procesado y prensado, ideal para una dieta equilibrada por su alto contenido en fibra, vitaminas y minerales. Requiere cocción de 5 a 10 minutos en agua o leche, logrando una textura suave pero consistente, perfecta para desayunos, galletas y panificados.",,https://drive.google.com/file/d/1Wrrzd3hO2ew6ry9B0tZ9rpmtMPzYcWhv/view,si,1137,,✅ en precios,CEREALES
BASTONCITOS DE SALVADO DE TRIGO Y AVENA,250G/500G/1KG,Los bastoncitos de salvado de trigo y avena son un cereal de desayuno diseñado para aportar altos niveles de fibra. Son conocidos por ser saciantes y ayudar significativamente a la salud digestiva.,,https://drive.google.com/file/d/19pulxRbH7xL56FagImtf_tiyKI4iPlvm/view,si,1147,,✅ en precios,CEREALES
BOLITAS DE CHOCOLATE,250G/500G/1KG,"Los cereales en bolitas de chocolate son un clásico del desayuno, conocidos por su textura crujiente y por teñir la leche de color chocolate.",,https://drive.google.com/file/d/1Q56-RkzQo7pP8geqUZ-AGVchPl4ItYdr/view,si,1155,,✅ en precios,CEREALES
COPOS DE MAIZ,250G/500G/1KG,Los copos de maíz (también conocidos como corn flakes) son hojuelas de maíz tostadas. Son uno de los cereales de desayuno más populares en el mundo debido a su textura crujiente y versatilidad.,,https://drive.google.com/file/d/1P4UdCh-pg94nJfhD1wCBCNyniZMLzkwi/view,si,1229,,✅ en precios,CEREALES
COPOS DE MAIZ CON AZUCAR,250G/500G/1KG,Los copos de maíz (también conocidos como corn flakes) son hojuelas de maíz tostadas. Son uno de los cereales de desayuno más populares en el mundo debido a su textura crujiente y versatilidad.,,https://drive.google.com/file/d/1L5n634OGcpybf7dAGm0hTnbx3y-OXPZC/view,si,1228,,✅ en precios,CEREALES
GRANOLA CON CHIPS DE CHOCOLATE,250G/500G/1KG,"La granola con chips de chocolate es una variante energética y ""golosa"" de la mezcla tradicional de cereales. Se caracteriza por equilibrar lo nutritivo de la avena con el sabor dulce del cacao.",,https://drive.google.com/file/d/1wt5BnuZzh5Ef8olB_3V36TU-2dfdI8AK/view,,1912,,✅ en precios,CEREALES
GRANOLA CROCANTE CON MIEL,250G/500G/1KG,"La granola con miel es una mezcla horneada de cereales, frutos secos y semillas que utiliza la miel de abeja como agente aglutinante y endulzante natural. Se caracteriza por su textura crujiente y su alto valor energético, siendo un alimento muy popular para desayunos y meriendas.",,https://drive.google.com/file/d/1GRbVoWoDOkU_AvvBDfQaq4LRhRUXGqNL/view,,1290,,✅ en precios,CEREALES
GRANOLA CRUNCH X 1 KG - HOMEMADE,1 UNIDAD,,,https://drive.google.com/file/d/15x8rdZOYfvqKQJMcNlDdW9bOD4f_jBae/view,,5022,,✅ en precios,CEREALES
GRANOLA FIT-CRUNCH X 1KG - HOMEMADE,1 UNIDAD,,,https://drive.google.com/file/d/1-_nZtU2aMf7sp1FQ_ei7BgvPusFySnmu/view,,5023,,✅ en precios,CEREALES
